fecha_inicio_viaje,CANTIDAD_VIAJES,LLOVIO,TEMP,DURACION_PROMEDIO_MINUTOS
2019-01-01,796,0,28.75,18.529752931323276
2019-01-02,2720,0,28.0,16.28174019607841
2019-01-03,4983,0,23.0,16.487681450264283
2019-01-04,5739,0,25.5,16.574812685136816
2019-01-05,3679,0,27.5,16.84021473226423
2019-01-06,2508,1,27.5,16.60625996810205
2019-01-07,5083,0,26.0,16.193796314512444
2019-01-08,5181,0,28.75,16.75930322331596
2019-01-09,4970,0,28.5,16.53132461435279
2019-01-10,5545,0,22.5,16.114827171626025
2019-01-11,6056,0,21.25,16.43195728753852
2019-01-12,3869,0,24.75,16.82886189368487
2019-01-13,2806,0,24.25,17.159942979330005
2019-01-14,5694,0,25.25,16.901785505210114
2019-01-15,2878,1,23.75,15.899183460736614
2019-01-16,4990,0,25.25,17.212358049432186
2019-01-17,5193,0,23.25,16.77840362025809
2019-01-18,4222,1,21.0,16.978730459497903
2019-01-19,2713,0,22.5,17.44421919154684
2019-01-20,2019,0,23.75,18.182994881954762
2019-01-21,4820,0,26.25,16.888181189488282
2019-01-22,4921,0,29.0,17.248760414549945
2019-01-23,4903,0,26.5,16.857509008090354
2019-01-24,5174,0,27.25,17.334628269552855
2019-01-25,3492,1,24.5,16.534254486445214
2019-01-26,3026,0,27.75,17.061560916501442
2019-01-27,2057,0,27.5,17.359115216334477
2019-01-28,4088,0,30.75,16.47848173515983
2019-01-29,3684,1,31.75,16.427221317408645
2019-01-30,4046,0,28.25,17.18702010215853
2019-01-31,4058,0,26.5,17.795597174305897
2019-02-01,4543,0,29.25,16.854277643260662
2019-02-02,3059,0,25.25,17.702931241146395
2019-02-03,2152,0,22.0,17.735749690210604
2019-02-04,4466,0,22.75,16.993383340797056
2019-02-05,4800,0,24.25,17.335510416666622
2019-02-06,4711,0,26.0,17.66450505908157
2019-02-07,4474,0,27.75,17.453393682014596
2019-02-08,4152,0,28.75,17.429913294797668
2019-02-09,2747,0,30.5,17.368207741778907
2019-02-10,2366,0,30.5,17.272823330515653
2019-02-11,3510,1,25.25,17.55361348528012
2019-02-12,4076,0,20.5,17.26194389924758
2019-02-13,4036,0,21.25,17.349351668318434
2019-02-14,3013,1,22.0,17.753678504259277
2019-02-15,3990,0,24.25,17.462631578947377
2019-02-16,2425,0,25.5,17.85351202749141
2019-02-17,1958,0,26.75,17.654153898535903
2019-02-18,3661,0,28.0,16.86700810343253
2019-02-19,3698,0,31.0,16.950455201009582
2019-02-20,3486,0,32.0,16.711445783132557
2019-02-21,2284,0,29.75,16.547745183887937
2019-02-22,266,1,28.5,16.200375939849618
2019-02-25,1429,0,21.0,30.06874271052019
2019-02-26,2483,0,19.75,29.394918781044456
2019-02-27,3318,0,22.75,28.8356841470765
2019-02-28,3967,0,21.5,28.80070162171243
2019-03-01,4257,0,26.25,30.199690705504615
2019-03-02,3828,0,24.0,46.76139846743295
2019-03-03,3937,0,23.75,55.50371264075865
2019-03-04,3267,1,24.0,46.60818283848587
2019-03-05,4319,0,24.0,55.73104885390143
2019-03-06,5217,0,27.0,29.820420420420437
2019-03-07,4076,1,28.75,29.826373895976495
2019-03-08,5926,0,21.0,29.566616042299398
2019-03-09,5234,0,19.25,46.55869634441469
2019-03-10,4894,0,21.25,53.812859283476335
2019-03-11,6801,0,21.75,28.06219918639417
2019-03-12,4952,1,21.25,28.948222940226124
2019-03-13,7604,0,22.0,29.68512624934245
2019-03-14,7988,0,22.5,28.276813136371153
2019-03-15,7483,1,22.75,28.168288119738012
2019-03-16,6210,1,24.25,43.12855877616737
2019-03-17,5096,0,25.0,53.51666666666684
2019-03-18,8005,0,26.75,29.045708931917613
2019-03-19,7759,0,20.25,26.177593762082715
2019-03-20,8360,0,18.5,28.93662480063797
2019-03-21,8291,0,17.75,27.746339404173234
2019-03-22,8223,0,20.25,29.01131379464102
2019-03-23,6193,0,22.5,47.16862317670484
2019-03-24,5292,0,20.0,51.82419690098263
2019-03-25,8007,0,18.25,26.61513259231519
2019-03-26,8656,0,19.25,26.55570124768942
2019-03-27,8268,0,19.5,27.58167029511377
2019-03-28,7912,0,21.5,27.37645138186723
2019-03-29,8538,0,22.5,27.917392832045046
